[ειπεν,G3004,V-2AAI-3S,verb second aorist active indicative third person singular,ask
[εν,G1722,PREP,preposition,in
[η,G3588,T-NSF,article nominative singular feminine,to
[οψιας,G3798,A-GSF,adjective genitive singular feminine,evening
[φιλιππου],G5376,N-GSM,noun genitive singular masculine,Philip
α,G3739,R-APN,relative pronoun accusative plural neuter,one
α,G3739,R-NPN,relative pronoun nominative plural neuter,one
ααρων,G2,N-PRI,noun proper noun indeclinable,Aaron
αβαδδων,G3,N-PRI,noun proper noun indeclinable,Abaddon
αβαρη,G4,A-ASM,adjective accusative singular masculine,from being burdensome
αββα,G5,N-PRI,noun proper noun indeclinable,Abba
αβελ,G6,N-PRI,noun proper noun indeclinable,Abel
αβια,G7,N-PRI,noun proper noun indeclinable,Abia
αβιαθαρ,G8,N-PRI,noun proper noun indeclinable,Abiathar
αβιληνης,G9,N-GSF,noun genitive singular feminine,Abilene
αβιουδ,G10,N-PRI,noun proper noun indeclinable,Abiud
αβρααμ,G11,N-PRI,noun proper noun indeclinable,Abraham
αβυσσον,G12,N-ASF,noun accusative singular feminine,deep
αβυσσου,G12,N-GSF,noun genitive singular feminine,deep
αγαβος,G13,N-NSM,noun nominative singular masculine,Agabus
αγαγειν,G71,V-2AAN,verb second aorist active infinitive,be
αγαγετε,G71,V-2AAM-2P,verb second aorist active imperative second person plural,be
αγαγη,G71,V-2AAS-3S,verb second aorist active subjunctive third person singular,be
αγαγοντα,G71,V-2AAP-ASM,verb second aorist active participle accusative singular masculine,be
αγαγοντες,G71,V-2AAP-NPM,verb second aorist active participle nominative plural masculine,be
αγαθα,G18,A-APN,adjective accusative plural neuter,benefit
αγαθα,G18,A-NPN,adjective nominative plural neuter,benefit
αγαθας,G18,A-APF,adjective accusative plural feminine,benefit
αγαθε,G18,A-VSM,adjective vocative singular masculine,benefit
αγαθη,G18,A-DSF,adjective dative singular feminine,benefit
αγαθη,G18,A-NSF,adjective nominative singular feminine,benefit
αγαθην,G18,A-ASF,adjective accusative singular feminine,benefit
αγαθης,G18,A-GSF,adjective genitive singular feminine,benefit
αγαθοεργειν,G14,V-PAN,verb present active infinitive,do good
αγαθοις,G18,A-DPN,adjective dative plural neuter,benefit
αγαθοις,G18,A-DPM,adjective dative plural masculine,benefit
αγαθον,G18,A-NSN,adjective nominative singular neuter,benefit
αγαθον,G18,A-ASN,adjective accusative singular neuter,benefit
αγαθον,G18,A-ASM,adjective accusative singular masculine,benefit
αγαθοποιειτε,G15,V-PAM-2P,verb present active imperative second person plural,when do good well
αγαθοποιησαι,G15,V-AAN,verb aorist active infinitive,when do good well
αγαθοποιητε,G15,V-PAS-2P,verb present active subjunctive second person plural,when do good well
αγαθοποιια,G16,N-DSF,noun dative singular feminine,welldoing
αγαθοποιουντας,G15,V-PAP-APM,verb present active participle accusative plural masculine,when do good well
